County,court_level,court_name,Supreme - Filed,COA - CR filed,COA - CV filed,HC - CR filed,HC - CV filed,ELRC - Filed cases,ELC - Filed cases,MC - CR filed cases,MC - CV filed cases,SCC - CR filed cases,SCC - CV filed cases,Kadhi Court - Filed cases,Supreme - Resolved,COA - CR Resolved,COA - CV Resolved,HC - CR Resolved,HC - CV Resolved,ELRC - Resolved cases,ELC - Resolved cases,MC - CR Resolved cases,MC - CV Resolved cases,SCC - CR Resolved cases,SCC - CV Resolved cases,Kadhi Court - Resolved cases,Supreme - Pending,COA - CR Pending,COA - CV Pending,HC - CR Pending,HC - CV Pending,ELRC - Pending cases,ELC - Pending cases,MC - CR Pending cases,MC - CV Pending cases,SCC - CR Pending cases,SCC - CV Pending cases,SCC- All Pending cases,Kadhi Court - pending cases
Kakamega,6,Butali Magistrate Court,,,,,,,,1298,593,,,,,,,,,,,863,116,,,,,,,,,,,1666,1646,,,,
Kakamega,6,Butere Magistrate Court,,,,,,,,833,424,,,,,,,,,,,771,777,,,,,,,,,,,1018,490,,,,
Kakamega,6,Kakamega Magistrate Court,,,,,,,,2784,1607,,,,,,,,,,,2624,1163,,,,,,,,,,,1298,6077,,,,
Kakamega,6,Mumias Magistrate Court,,,,,,,,1207,497,,,,,,,,,,,987,345,,,,,,,,,,,1462,694,,,,
Kakamega,7,Kakamega Kadhi Court,,,,,,,,,,,,49,,,,,,,,,,,,56,,,,,,,,,,,,,0
Vihiga,3,Vihiga High Court,,,,48,110,,,,,,,,,,,2,21,,,,,,,,,,,95,155,,,,,,,,
Vihiga,5,Vihiga ELC,,,,,,,75,,,,,,,,,,,,51,,,,,,,,,,,,24,,,,,,
Vihiga,6,Vihiga Magistrate Court,,,,,,,,1164,776,,,,,,,,,,,852,439,,,,,,,,,,,2062,1563,,,,
Vihiga,7,Vihiga Kadhi Court,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,3
Vihiga,6,Hamisi Magistrate Court,,,,,,,,1068,349,,,,,,,,,,,948,146,,,,,,,,,,,1262,371,,,,
Vihiga,7,Hamisi Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bungoma,3,Bungoma High Court,,,,367,267,,,,,,,,,,,328,563,,,,,,,,,,,472,611,,,,,,,,
Bungoma,4,Bungoma ELRC,,,,,,225,,,,,,,,,,,,157,,,,,,,,,,,,176,,,,,,,
Bungoma,5,Bungoma ELC,,,,,,,102,,,,,,,,,,,,105,,,,,,,,,,,,174,,,,,,
Bungoma,6,Bungoma Magistrate Court,,,,,,,,2614,1539,,,,,,,,,,,2113,711,,,,,,,,,,,1669,2753,,,,
Bungoma,6,Kimilili Magistrate Court,,,,,,,,1011,486,,,,,,,,,,,975,289,,,,,,,,,,,1810,1232,,,,
Bungoma,6,Sirisia Magistrate Court,,,,,,,,694,139,,,,,,,,,,,591,78,,,,,,,,,,,1341,371,,,,
Bungoma,6,Webuye Magistrate Court,,,,,,,,981,274,,,,,,,,,,,1112,173,,,,,,,,,,,1280,714,,,,
Bungoma,7,Bungoma Kadhi Court,,,,,,,,,,,,102,,,,,,,,,,,,20,,,,,,,,,,,,,82
Bungoma,6,Kapsokwony under Kimilili Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Busia,3,Busia High Court,,,,130,167,,,,,,,,,,,55,280,,,,,,,,,,,230,1983,,,,,,,,
Busia,5,Busia ELC,,,,,,,132,,,,,,,,,,,,230,,,,,,,,,,,,236,,,,,,
Busia,6,Busia Magistrate Court,,,,,,,,3019,1504,,,,,,,,,,,2386,1006,,,,,,,,,,,5288,2776,,,,
Busia,7,Busia Kadhi Court,,,,,,,,,,,,51,,,,,,,,,,,,42,,,,,,,,,,,,,78
Siaya,3,Siaya High Court,,,,215,170,,,,,,,,,,,245,179,,,,,,,,,,,58,80,,,,,,,,
Siaya,5,Siaya ELC,,,,,,,259,,,,,,,,,,,,124,,,,,,,,,,,,132,,,,,,
Siaya,6,Bondo Magistrate Court,,,,,,,,1803,785,,,,,,,,,,,1713,873,,,,,,,,,,,822,504,,,,
Siaya,6,Siaya Magistrate Court,,,,,,,,999,747,,,,,,,,,,,899,405,,,,,,,,,,,1076,2068,,,,
Siaya,6,Ukwala Magistrate Court,,,,,,,,571,587,,,,,,,,,,,448,222,,,,,,,,,,,1032,718,,,,
Kisumu,2,Kisumu Court of Appeal,,166,461,,,,,,,,,,,73,116,,,,,,,,,,,1467,1645,,,,,,,,,,
Kisumu,3,Kisumu High Court,,,,327,499,,,,,,,,,,,281,625,,,,,,,,,,,735,761,,,,,,,,
Kisumu,4,Kisumu ELRC,,,,,,291,,,,,,,,,,,,650,,,,,,,,,,,,365,,,,,,,
Kisumu,5,Kisumu ELC,,,,,,,200,,,,,,,,,,,,184,,,,,,,,,,,,568,,,,,,
Kisumu,6,Kisumu Magistrate Court,,,,,,,,2406,2104,,,,,,,,,,,1703,1662,,,,,,,,,,,8554,6307,,,,
Kisumu,6,Maseno Magistrate Court,,,,,,,,1003,282,,,,,,,,,,,926,281,,,,,,,,,,,1423,570,,,,
Kisumu,6,Winam Magistrate Court,,,,,,,,1411,654,,,,,,,,,,,1317,486,,,,,,,,,,,2679,812,,,,
Kisumu,6,Nyando Magistrate Court,,,,,,,,1391,993,,,,,,,,,,,1569,1136,,,,,,,,,,,1632,2494,,,,
Kisumu,6,Tamu Magistrate Court,,,,,,,,495,218,,,,,,,,,,,510,211,,,,,,,,,,,88,265,,,,
Kisumu,7,Kisumu Kadhi Court,,,,,,,,,,,,64,,,,,,,,,,,,42,,,,,,,,,,,,,49
Homa bay,3,Homa bay High Court,,,,129,187,,,,,,,,,,,173,335,,,,,,,,,,,260,331,,,,,,,,
Homa bay,5,Homa Bay ELC,,,,,,,290,,,,,,,,,,,,97,,,,,,,,,,,,189,,,,,,
Homa bay,6,Homa bay Magistrate Court,,,,,,,,1243,550,,,,,,,,,,,1038,479,,,,,,,,,,,1464,982,,,,
Homa bay,6,Ndhiwa Magistrate Court,,,,,,,,414,290,,,,,,,,,,,429,313,,,,,,,,,,,602,605,,,,
Homa bay,6,Oyugis Magistrate Court,,,,,,,,1054,1175,,,,,,,,,,,874,621,,,,,,,,,,,1984,1976,,,,
Homa bay,6,Mbita Magistrate Court,,,,,,,,847,235,,,,,,,,,,,866,166,,,,,,,,,,,919,243,,,,
Homa bay,7,Homa bay Kadhi Court,,,,,,,,,,,,14,,,,,,,,,,,,9,,,,,,,,,,,,,5
Homa bay,6,Kendu Bay under Oyugis Magistrate Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migori,3,Migori High Court,,,,247,342,,,,,,,,,,,94,482,,,,,,,,,,,354,313,,,,,,,,
Migori,5,Migori ELC,,,,,,,108,,,,,,,,,,,,125,,,,,,,,,,,,26,,,,,,
Migori,6,Kehancha Magistrate Court,,,,,,,,1496,296,,,,,,,,,,,1222,267,,,,,,,,,,,810,333,,,,
Migori,6,Migori Magistrate Court,,,,,,,,1221,771,,,,,,,,,,,997,2499,,,,,,,,,,,1847,2737,,,,
Migori,6,Rongo Magistrate Court,,,,,,,,676,487,,,,,,,,,,,542,484,,,,,,,,,,,664,951,,,,
Migori,7,Migori Kadhi Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kisii,3,Kisii High Court,,,,176,481,,,,,,,,,,,63,534,,,,,,,,,,,240,280,,,,,,,,
Kisii,5,Kisii ELC,,,,,,,38,,,,,,,,,,,,167,,,,,,,,,,,,182,,,,,,
Kisii,6,Kisii Magistrate Court,,,,,,,,2643,1603,,,,,,,,,,,2604,1702,,,,,,,,,,,4045,4497,,,,
Kisii,6,Ogembo Magistrate Court,,,,,,,,3537,765,,,,,,,,,,,3081,413,,,,,,,,,,,2843,2166,,,,
Nyamira,3,Nyamira High Court,,,,91,228,,,,,,,,,,,42,201,,,,,,,,,,,91,199,,,,,,,,
Nyamira,5,Nyamira ELC,,,,,,,142,,,,,,,,,,,,74,,,,,,,,,,,,68,,,,,,
Nyamira,6,Keroka Magistrate Court,,,,,,,,1743,457,,,,,,,,,,,1614,181,,,,,,,,,,,1293,801,,,,
Nyamira,6,Kilgoris Magistrate Court,,,,,,,,1452,224,,,,,,,,,,,1012,123,,,,,,,,,,,1016,272,,,,
Nyamira,6,Nyamira Magistrate Court,,,,,,,,2007,497,,,,,,,,,,,2043,560,,,,,,,,,,,1041,657,,,,
Nairobi,1,Supreme Court,41,,,,,,,,,,,,63,,,,,,,,,,,,52,,,,,,,,,,,,
Nairobi,2,Nairobi Court of Appeal,,119,1379,,,,,,,,,,,50,575,,,,,,,,,,,198,3685,,,,,,,,,,
Nairobi,3,Milimani Criminal Division,,,,972,0,,,,,,,,,,,833,0,,,,,,,,,,,2337,0,,,,,,,,
Nairobi,3,Milimani Constitutional Law & Human Rights Division,,,,0,830,,,,,,,,,,,0,621,,,,,,,,,,,0,857,,,,,,,,
Nairobi,3,Milimani Family Division,,,,0,3406,,,,,,,,,,,0,5255,,,,,,,,,,,0,3735,,,,,,,,
Nairobi,3,Milimani Civil Division,,,,0,2066,,,,,,,,,,,1,2751,,,,,,,,,,,0,6300,,,,,,,,
Nairobi,3,Milimani Judicial Review Division,,,,0,383,,,,,,,,,,,0,486,,,,,,,,,,,0,1116,,,,,,,,
Nairobi,3,Milimani Commercial & Tax Division,,,,0,2272,,,,,,,,,,,0,2937,,,,,,,,,,,0,5914,,,,,,,,
Nairobi,3,Milimani AntiCorruption & Economic Crimes Division,,,,97,23,,,,,,,,,,,105,38,,,,,,,,,,,55,127,,,,,,,,
Nairobi,4,Nairobi ELRC,,,,,,2059,,,,,,,,,,,,2824,,,,,,,,,,,,9036,,,,,,,
Nairobi,5,Milimani ELC,,,,,,,993,,,,,,,,,,,,2138,,,,,,,,,,,,335,,,,,,
Nairobi,6,Milimani Commercial Magistrate Court,,,,,,,,0,11802,,,,,,,,,,,0,12813,,,,,,,,,,,0,53928,,,,
Nairobi,6,Milimani Childrens Court,,,,,,,,894,2152,,,,,,,,,,,1517,3153,,,,,,,,,,,563,5722,,,,
Nairobi,6,Milimani Magistrate Court,,,,,,,,17708,0,,,,,,,,,,,16858,0,,,,,,,,,,,5839,0,,,,
Nairobi,6,Nairobi City Court,,,,,,,,4,140,,,,,,,,,,,56,496,,,,,,,,,,,246,166,,,,
Nairobi,6,Makadara Magistrate Court,,,,,,,,13422,0,,,,,,,,,,,10409,0,,,,,,,,,,,16629,0,,,,
Nairobi,6,Ruiru Magistrate Court,,,,,,,,4140,1486,,,,,,,,,,,3228,1547,,,,,,,,,,,2032,164,,,,
Nairobi,6,Kahawa Magistrate Court,,,,,,,,340,0,,,,,,,,,,,272,0,,,,,,,,,,,154,0,,,,
Nairobi,8,Small Claims Court,,,,,,,,,,0,8503,,,,,,,,,,,0,8226,,,,,,,,,,,0,1239,1239,
Nairobi,6,Kibera Magistrate Court,,,,,,,,6247,0,,,,,,,,,,,6490,0,,,,,,,,,,,3119,0,,,,
Nairobi,6,Milimani Anticorruption Court,,,,,,,,108,0,,,,,,,,,,,69,0,,,,,,,,,,,291,0,,,,
Nairobi,6,JKIA Magistrate Court,,,,,,,,111,0,,,,,,,,,,,127,0,,,,,,,,,,,124,0,,,,
Nairobi,7,Nairobi Kadhi Court,,,,,,,,,,,,1424,,,,,,,,,,,,1123,,,,,,,,,,,,,2688
Nairobi,7,Kibera Kadhi Court,,,,,,,,,,,,21,,,,,,,,,,,,16,,,,,,,,,,,,,51
